fid_,waarneming,euring,soortid,datum,tijdstip,blok,aantal,id_type_wa,aktid,broedcode,jaar,dtkey,overvliege,naam,x,y
6240947.0,186995609.0,8310,37,2020-03-21,,FS38C,1,1,3117,6,2020,321,0,IJsvogel,184709.1846999973,220071.59789999947
6247665.0,193942817.0,8310,37,2020-06-13,,FS38C,1,1,3121,12,2020,613,0,IJsvogel,187546.61039999872,219533.73580000177
6248098.0,193749074.0,8310,37,2020-06-10,10:13,FS38C,1,92,3116,14,2020,610,0,IJsvogel,188665.60379999876,216491.32310000062
6275152.0,190126707.0,8310,37,2020-05-01,,FS38C,1,1,3116,14,2020,501,0,IJsvogel,187578.33060000092,219495.14290000126
6353118.0,192557845.0,8310,37,2020-05-27,15:28,FS39C,1,92,3116,14,2020,527,0,IJsvogel,188373.53390000015,229118.93450000137
6388989.0,272451104.0,8310,37,2023-05-19,06:55,FS47A,1,92,3116,14,2023,519,0,IJsvogel,196417.8681000024,212679.18939999864
6510013.0,308216144.0,8310,37,2024-05-07,12:47,FS48B,1,92,3120,11,2024,507,0,IJsvogel,202240.33110000193,224327.92309999838
6510481.0,269006817.0,8310,37,2023-04-25,17:44,FS48B,1,1,3116,14,2023,425,0,IJsvogel,202369.99710000306,223901.10779999942
6513119.0,269253737.0,8310,37,2023-04-27,10:32,FS48B,2,1,3115,16,2023,427,0,IJsvogel,202378.6543999985,223902.63720000163
6522383.0,269569211.0,8310,37,2023-04-29,17:01,FS48B,1,210,3117,6,2023,429,0,IJsvogel,203979.64639999717,221312.57770000026
6524274.0,253431436.0,8310,37,2022-06-25,19:04,FS48C,1,92,25,7,2022,625,0,IJsvogel,194846.4675000012,217357.34299999848
6552577.0,192777256.0,8310,37,2020-05-30,08:47,FS48D,2,92,3121,12,2020,530,0,IJsvogel,202101.15999999642,220176.87189999968
6552578.0,192777258.0,8310,37,2020-05-30,08:47,FS48D,2,92,3121,12,2020,530,0,IJsvogel,202101.15999999642,220176.87189999968
6563983.0,239987747.0,8310,37,2022-05-03,09:04,FS49C,1,92,28,6,2022,503,0,IJsvogel,195408.06710000336,227453.91910000145
6576274.0,188936739.0,8310,37,2020-04-18,08:25,FS27A,1,92,25,7,2020,418,0,IJsvogel,175137.12740000337,213217.20910000056
6585497.0,188365678.0,8310,37,2020-04-11,07:14,FS27A,1,92,25,7,2020,411,0,IJsvogel,175200.10209999979,213313.83249999955
6599495.0,255903994.0,8310,37,2022-10-01,13:53,FS27C,1,92,3120,11,2022,1001,0,IJsvogel,177942.79140000045,209060.32889999822
6600658.0,269371477.0,8310,37,2023-04-19,11:22,FS27C,1,416,3051,13,2023,419,0,IJsvogel,174789.1665999964,208199.04190000147
6612147.0,247087625.0,8310,37,2022-06-27,21:11,FS27D,1,92,25,7,2022,627,0,IJsvogel,180731.3247999996,208702.82710000128
6614644.0,300867721.0,8310,37,2024-03-03,10:59,FS27D,2,92,28,6,2024,303,0,IJsvogel,183886.02970000356,208757.71759999916
6635003.0,309599361.0,8310,37,2024-05-14,21:05,FS27D,1,92,3051,13,2024,514,0,IJsvogel,183832.25450000167,208471.53049999848
